month,day,depart_airport,arrival_airport,dep_time,arr_time
1,1,JFK,FLL,11,14
1,1,JFK,LAX,12,15
1,1,EWR,BOS,12,13
1,1,LGA,ATL,12,14
1,1,JFK,LAX,12,15
1,1,LGA,FLL,12,15
1,1,LGA,ATL,12,14
1,1,JFK,DCA,12,13
1,1,EWR,ROC,11,13
1,1,LGA,RDU,12,13
1,1,EWR,MCO,12,14
1,1,LGA,DFW,12,15
1,1,EWR,BWI,12,13
1,1,LGA,ORD,12,13
1,1,JFK,CLT,12,13
1,1,EWR,BTV,12,13
1,1,EWR,SJU,11,16
1,1,EWR,ATL,12,14
1,1,JFK,SFO,12,15
1,1,EWR,MCO,12,14
1,1,EWR,IAH,12,15
1,1,EWR,BUF,12,13
1,1,JFK,HOU,11,15
1,1,EWR,CLT,12,14
1,1,EWR,ORD,12,13
1,1,EWR,SFO,12,15
1,1,LGA,STL,12,14
1,1,LGA,MSY,12,15
1,1,EWR,MDW,12,13
1,1,EWR,JAX,11,14
1,1,JFK,TPA,12,15
1,1,EWR,PHX,12,16
1,1,EWR,DTW,12,14
1,1,LGA,DTW,12,14
1,1,EWR,FLL,12,15
1,1,JFK,BOS,12,13
1,1,LGA,MKE,12,14
1,1,EWR,DTW,12,14
1,1,LGA,MIA,12,16
1,1,JFK,RDU,12,14
1,1,EWR,DCA,12,13
1,1,JFK,SLC,12,16
1,1,JFK,SJU,12,18
1,1,JFK,BUF,12,13
1,1,LGA,IAH,12,16
1,1,JFK,FLL,12,15
1,1,LGA,DFW,12,15
1,1,EWR,DEN,12,14
1,1,LGA,ATL,13,15
1,1,LGA,DEN,12,15
1,1,LGA,BNA,12,13
1,1,LGA,CLT,12,15
1,1,LGA,BOS,13,14
1,1,JFK,LGB,12,16
1,1,LGA,CMH,13,14
1,1,LGA,ATL,13,15
1,1,LGA,ORD,13,14
1,1,EWR,DFW,12,15
1,1,LGA,MSP,11,13
1,1,EWR,DFW,12,16
1,1,JFK,BOS,12,14
1,1,EWR,MIA,13,16
1,1,EWR,DAY,12,14
1,1,JFK,ROC,12,14
1,1,LGA,DTW,13,15
1,1,JFK,MIA,12,15
1,1,EWR,HOU,13,16
1,1,JFK,PBI,13,15
1,1,EWR,CLT,13,15
1,1,EWR,ALB,13,14
1,1,EWR,BWI,13,14
1,1,LGA,RDU,13,15
1,1,EWR,BDL,13,14
1,1,LGA,MCO,13,16
1,1,EWR,LAX,13,16
1,1,EWR,SLC,13,16
1,1,JFK,ATL,13,16
1,1,JFK,LAX,13,16
1,1,EWR,FLL,13,16
1,1,EWR,IND,13,15
1,1,JFK,JAX,13,16
1,1,EWR,PIT,13,15
1,1,JFK,LAX,12,15
1,1,LGA,MIA,13,17
1,1,LGA,SRQ,13,16
1,1,JFK,LAX,13,17
1,1,EWR,STL,13,15
1,1,LGA,DFW,13,16
1,1,EWR,HNL,13,19
1,1,EWR,PHX,13,17
1,1,EWR,BUF,13,14
1,1,JFK,PWM,13,15
1,1,EWR,MHT,13,14
1,1,EWR,MSN,13,15
1,1,EWR,CHS,13,16
1,1,JFK,BOS,13,15
1,1,EWR,GSO,13,14
1,1,JFK,MCO,13,16
1,1,LGA,MDW,13,15
1,1,LGA,CLT,13,15
1,1,EWR,ORD,12,14
1,1,LGA,ORD,13,15
1,1,EWR,IAH,13,16
1,1,EWR,PHX,13,17
1,1,LGA,MEM,12,15
1,1,LGA,ATL,14,16
1,1,EWR,MEM,13,15
1,1,LGA,ATL,14,16
1,1,EWR,FLL,13,16
1,1,EWR,ORD,14,15
1,1,EWR,SEA,14,17
1,1,EWR,ORD,14,15
1,1,JFK,BOS,14,15
1,1,JFK,SEA,13,17
1,1,LGA,RSW,14,17
1,1,LGA,CLE,14,15
1,1,JFK,SFO,14,17
1,1,LGA,IAD,14,15
1,1,EWR,CVG,13,15
1,1,EWR,ATL,14,16
1,1,JFK,BUR,13,16
1,1,EWR,PBI,13,16
1,1,LGA,IAH,14,17
1,1,LGA,PBI,14,17
1,1,EWR,CLE,14,16
1,1,LGA,MSP,14,16
1,1,JFK,SFO,14,18
1,1,JFK,DCA,14,16
1,1,LGA,DTW,14,16
1,1,JFK,MCO,14,17
1,1,EWR,IAD,14,16
1,1,LGA,ORD,14,16
1,1,LGA,ATL,14,17
1,1,JFK,MIA,14,18
1,1,LGA,CLT,14,16
1,1,JFK,RDU,14,16
1,1,JFK,IAD,15,16
1,1,JFK,BUF,14,16
1,1,JFK,FLL,14,18
1,1,JFK,CLE,14,16
1,1,LGA,DCA,15,16
1,1,EWR,PWM,14,16
1,1,JFK,SYR,15,16
1,1,JFK,LAX,15,18
1,1,JFK,MSY,14,17
1,1,JFK,PIT,14,16
1,1,LGA,PBI,15,18
1,1,LGA,ORD,15,16
1,1,EWR,AUS,14,18
1,1,EWR,RSW,15,18
1,1,EWR,CLT,15,16
1,1,LGA,CMH,15,16
1,1,EWR,CMH,15,16
1,1,EWR,TPA,14,17
1,1,LGA,FLL,14,18
1,1,EWR,FLL,15,18
1,1,EWR,RIC,13,14
1,1,LGA,RDU,15,16
1,1,LGA,DFW,15,18
1,1,LGA,DEN,15,17
1,1,JFK,ROC,15,16
1,1,JFK,IND,15,17
1,1,EWR,MCO,14,17
1,1,EWR,TPA,15,18
1,1,LGA,ATL,15,17
1,1,LGA,BUF,15,17
1,1,JFK,MCO,15,18
1,1,EWR,CLT,15,17
1,1,JFK,PIT,15,17
1,1,JFK,SRQ,14,17
1,1,EWR,SFO,15,18
1,1,EWR,DFW,14,17
1,1,JFK,DCA,15,16
1,1,EWR,MCO,15,18
1,1,LGA,MCO,15,18
1,1,JFK,CMH,15,17
1,1,JFK,LAX,15,18
1,1,EWR,LAX,15,18
1,1,JFK,PBI,14,18
1,1,EWR,MCO,13,16
1,1,LGA,XNA,15,18
1,1,EWR,MDW,15,16
1,1,JFK,FLL,15,18
1,1,JFK,BUF,14,16
1,1,JFK,RSW,15,18
1,1,EWR,IAH,15,18
1,1,EWR,STL,14,16
1,1,LGA,STL,15,17
1,1,EWR,ORD,14,16
1,1,LGA,CLT,15,17
1,1,JFK,BWI,15,16
1,1,EWR,DCA,14,16
1,1,EWR,GSP,14,16
1,1,EWR,DEN,15,17
1,1,EWR,GRR,15,17
1,1,LGA,MKE,15,16
1,1,JFK,MCO,15,18
1,1,JFK,SFO,15,19
1,1,JFK,LAX,15,19
1,1,EWR,LAS,15,18
1,1,JFK,SJU,13,18
1,1,JFK,SAN,15,19
1,1,JFK,SLC,15,19
1,1,LGA,CLE,15,17
1,1,JFK,ORD,15,17
1,1,EWR,ATL,15,18
1,1,LGA,MSP,14,16
1,1,EWR,MCI,14,16
1,1,EWR,MIA,15,18
1,1,JFK,IND,15,18
1,1,LGA,IAD,16,17
1,1,LGA,ATL,16,18
1,1,JFK,BNA,16,17
1,1,JFK,DFW,16,19
1,1,JFK,BOS,16,17
1,1,LGA,ATL,15,18
1,1,JFK,CVG,16,18
1,1,LGA,PIT,16,17
1,1,JFK,RSW,16,19
1,1,LGA,ORD,16,17
1,1,EWR,BNA,15,17
1,1,JFK,IAD,13,15
1,1,EWR,FLL,16,19
1,1,JFK,LAS,16,19
1,1,JFK,PHL,16,17
1,1,EWR,ORD,16,17
1,1,LGA,MCI,16,18
1,1,EWR,BUF,15,17
1,1,JFK,ORD,15,17
1,1,EWR,DEN,16,18
1,1,LGA,RDU,16,17
1,1,EWR,FLL,16,19
1,1,LGA,CLT,15,17
1,1,LGA,ORD,16,18
1,1,JFK,SYR,15,17
1,1,EWR,BOS,14,15
1,1,LGA,DFW,15,18
1,1,LGA,MIA,16,19
1,1,JFK,MCO,16,19
1,1,JFK,FLL,16,19
1,1,LGA,MSP,16,18
1,1,LGA,DEN,15,18
1,1,EWR,PHX,16,19
1,1,EWR,PIT,16,17
1,1,LGA,ATL,16,18
1,1,EWR,IAH,16,19
1,1,JFK,ATL,15,18
1,1,JFK,PHX,16,19
1,1,JFK,SJU,15,20
1,1,JFK,LAX,16,19
1,1,JFK,DTW,16,18
1,1,JFK,TPA,14,18
1,1,JFK,SFO,16,20
1,1,EWR,IAD,15,16
1,1,JFK,DEN,16,19
1,1,EWR,CVG,15,17
1,1,JFK,PBI,16,19
1,1,EWR,DCA,16,17
1,1,EWR,PHX,16,20
1,1,EWR,SAN,16,19
1,1,LGA,STL,16,18
1,1,EWR,ORD,16,18
1,1,EWR,DEN,16,18
1,1,EWR,CLE,16,18
1,1,EWR,BOS,16,17
1,1,JFK,MSP,15,18
1,1,EWR,MKE,15,16
1,1,LGA,DTW,16,18
1,1,JFK,BOS,16,18
1,1,EWR,RSW,16,19
1,1,EWR,GSO,16,18
1,1,EWR,ATL,16,19
1,1,LGA,TPA,16,19
1,1,JFK,SAN,16,20
1,1,LGA,DFW,16,19
1,1,LGA,FLL,17,20
1,1,EWR,MHT,16,17
1,1,JFK,AUS,17,20
1,1,EWR,ALB,16,17
1,1,JFK,EGE,17,19
1,1,JFK,SFO,17,20
1,1,JFK,LAX,16,20
1,1,JFK,LAS,17,19
1,1,EWR,STL,16,18
1,1,EWR,MCO,16,19
1,1,JFK,ORF,17,18
1,1,JFK,AUS,17,20
1,1,LGA,ORD,17,18
1,1,LGA,IAH,17,20
1,1,EWR,DFW,17,20
1,1,LGA,CLT,17,19
1,1,EWR,ATL,17,19
1,1,EWR,LAX,17,20
1,1,EWR,HOU,17,20
1,1,EWR,BTV,16,18
1,1,JFK,CLT,16,18
1,1,LGA,PBI,16,18
1,1,LGA,DEN,17,19
1,1,EWR,SAT,17,20
1,1,JFK,FLL,17,20
1,1,JFK,ORD,17,19
1,1,LGA,DEN,17,19
1,1,JFK,SJU,15,20
1,1,EWR,ORD,17,18
1,1,LGA,ORD,17,19
1,1,JFK,SJU,17,22
1,1,LGA,RDU,17,19
1,1,JFK,LAX,17,21
1,1,EWR,CLT,17,19
1,1,EWR,IAH,17,20
1,1,JFK,MIA,17,20
1,1,JFK,SFO,17,21
1,1,JFK,SAN,17,20
1,1,EWR,SDF,16,18
1,1,EWR,SFO,17,20
1,1,LGA,ATL,17,19
1,1,JFK,PHX,17,21
1,1,EWR,SEA,17,20
1,1,EWR,DAY,16,18
1,1,JFK,RSW,16,20
1,1,EWR,PBI,17,20
1,1,LGA,DTW,17,19
1,1,JFK,PDX,17,21
1,1,LGA,MIA,16,19
1,1,LGA,XNA,17,20
1,1,LGA,MCO,17,20
1,1,JFK,RDU,16,18
1,1,EWR,MCO,17,20
1,1,JFK,TPA,17,20
1,1,LGA,TPA,17,20
1,1,LGA,MDW,17,19
1,1,JFK,IAD,17,19
1,1,JFK,LAX,17,21
1,1,JFK,MCO,17,20
1,1,EWR,MDW,17,19
1,1,LGA,MCO,17,20
1,1,EWR,MCO,17,20
1,1,EWR,DCA,17,18
1,1,LGA,ATL,17,20
1,1,JFK,BOS,18,19
1,1,JFK,FLL,18,21
1,1,EWR,ORD,17,19
1,1,EWR,CMH,17,19
1,1,JFK,RDU,18,19
1,1,EWR,CLE,18,19
1,1,LGA,BUF,18,19
1,1,EWR,LAX,18,21
1,1,EWR,DTW,17,19
1,1,LGA,BNA,16,17
1,1,JFK,CLT,18,20
1,1,EWR,PDX,17,21
1,1,LGA,BNA,18,19
1,1,EWR,SAN,17,21
1,1,EWR,SEA,18,21
1,1,JFK,LGB,18,21
1,1,EWR,DFW,17,21
1,1,EWR,STL,17,18
1,1,JFK,SJC,18,21
1,1,EWR,OMA,13,15
1,1,LGA,BWI,18,19
1,1,LGA,CMH,18,19
1,1,EWR,LAS,18,20
1,1,LGA,ORD,18,20
1,1,EWR,LAX,18,21
1,1,JFK,MSP,18,20
1,1,JFK,SEA,18,22
1,1,JFK,DTW,18,20
1,1,EWR,CLT,18,20
1,1,LGA,MIA,18,21
1,1,JFK,SEA,18,22
1,1,EWR,DEN,18,20
1,1,LGA,CLE,18,19
1,1,EWR,PBI,18,21
1,1,EWR,PWM,18,19
1,1,JFK,CHS,18,21
1,1,EWR,SNA,18,21
1,1,EWR,ORD,18,20
1,1,LGA,ORD,18,19
1,1,EWR,CVG,17,19
1,1,JFK,BUF,18,20
1,1,LGA,CRW,18,20
1,1,JFK,SFO,18,22
1,1,EWR,BTV,14,15
1,1,EWR,FLL,18,21
1,1,LGA,STL,18,20
1,1,JFK,BOS,18,20
1,1,JFK,SJU,18,23
1,1,LGA,DFW,17,20
1,1,JFK,SJU,18,23
1,1,JFK,SFO,17,21
1,1,LGA,ATL,19,21
1,1,JFK,IAD,19,20
1,1,JFK,MSY,18,21
1,1,JFK,SFO,18,22
1,1,LGA,DCA,19,20
1,1,LGA,CLE,18,20
1,1,LGA,ATL,18,21
1,1,LGA,IAH,18,22
1,1,JFK,LAX,16,20
1,1,JFK,MCO,18,21
1,1,JFK,ATL,18,21
1,1,LGA,MKE,19,20
1,1,EWR,RIC,19,20
1,1,JFK,MIA,19,22
1,1,JFK,OAK,18,22
1,1,JFK,MCO,19,22
1,1,EWR,TPA,19,22
1,1,JFK,SFO,19,23
1,1,JFK,TPA,19,22
1,1,JFK,SLC,19,22
1,1,JFK,LAS,19,22
1,1,EWR,BNA,19,20
1,1,JFK,ORD,19,21
1,1,LGA,CLT,18,21
1,1,LGA,RDU,19,20
1,1,LGA,MCO,19,22
1,1,EWR,PHX,19,22
1,1,JFK,SLC,19,22
1,1,EWR,SFO,19,22
1,1,LGA,ORD,19,21
1,1,EWR,CLT,19,21
1,1,JFK,PHX,19,23
1,1,EWR,GRR,18,20
1,1,JFK,SMF,18,22
1,1,LGA,IAD,19,20
1,1,JFK,LAX,19,22
1,1,EWR,DFW,19,22
1,1,JFK,RDU,19,21
1,1,EWR,BQN,19,0
1,1,JFK,SAN,17,21
1,1,JFK,BNA,17,18
1,1,EWR,OMA,19,21
1,1,JFK,LAX,19,22
1,1,EWR,RIC,17,18
1,1,JFK,DFW,18,21
1,1,JFK,TPA,19,22
1,1,EWR,BOS,19,20
1,1,LGA,FLL,19,22
1,1,JFK,DCA,17,18
1,1,JFK,JAX,19,22
1,1,EWR,CHS,19,21
1,1,JFK,LAS,18,21
1,1,EWR,TUL,19,22
1,1,JFK,LAX,20,23
1,1,EWR,SEA,19,22
1,1,JFK,PIT,20,21
1,1,JFK,BWI,20,21
1,1,JFK,SFO,19,23
1,1,EWR,DFW,20,23
1,1,JFK,SAT,19,23
1,1,EWR,IAH,20,23
1,1,EWR,TYS,19,21
1,1,JFK,PHL,20,21
1,1,LGA,MIA,19,23
1,1,EWR,MIA,20,23
1,1,EWR,SAV,16,18
1,1,LGA,ORD,20,21
1,1,LGA,MSP,18,21
1,1,LGA,CMH,20,22
1,1,EWR,PIT,18,19
1,1,EWR,CLE,20,21
1,1,JFK,BOS,20,21
1,1,JFK,BUF,20,21
1,1,EWR,OKC,19,22
1,1,JFK,CMH,19,21
1,1,JFK,CLE,19,21
1,1,JFK,FLL,20,23
1,1,EWR,RSW,20,23
1,1,LGA,CAK,20,21
1,1,JFK,AUS,20,23
1,1,JFK,CVG,19,22
1,1,JFK,BUR,18,21
1,1,JFK,FLL,20,23
1,1,EWR,AUS,20,23
1,1,EWR,MKE,20,21
1,1,JFK,PBI,19,22
1,1,EWR,MDW,19,21
1,1,EWR,MHT,20,21
1,1,LGA,ORD,20,22
1,1,JFK,HOU,20,23
1,1,JFK,MSY,20,22
1,1,EWR,IAH,20,23
1,1,EWR,BOS,20,21
1,1,EWR,LAX,20,0
1,1,EWR,RDU,20,21
1,1,JFK,JAX,20,23
1,1,JFK,DCA,20,22
1,1,EWR,MCO,20,23
1,1,JFK,RDU,19,21
1,1,JFK,PDX,20,23
1,1,JFK,RSW,20,23
1,1,LGA,DTW,20,22
1,1,EWR,PBI,21,23
1,1,EWR,ALB,20,21
1,1,EWR,IAD,19,21
1,1,LGA,MCO,21,23
1,1,LGA,RDU,21,22
1,1,EWR,ORD,21,22
1,1,EWR,SDF,21,23
1,1,LGA,MDW,21,22
1,1,EWR,TPA,21,23
1,1,LGA,CLT,21,22
1,1,JFK,BOS,20,22
1,1,EWR,SJU,21,1
1,1,JFK,LAS,21,0
1,1,JFK,LAX,20,23
1,1,EWR,SFO,20,0
1,1,EWR,MCO,21,23
1,1,LGA,ATL,20,22
1,1,EWR,RIC,21,22
1,1,JFK,CVG,17,19
1,1,EWR,PVD,21,22
1,1,EWR,DSM,19,21
1,1,LGA,FLL,21,0
1,1,EWR,MCO,20,23
1,1,LGA,BNA,21,22
1,1,JFK,LAX,21,0
1,1,JFK,DCA,21,22
1,1,JFK,DEN,21,23
1,1,EWR,FLL,20,23
1,1,EWR,FLL,21,0
1,1,JFK,SJU,21,2
1,1,JFK,MCO,21,0
1,1,EWR,BWI,22,23
1,1,EWR,MIA,17,20
1,1,JFK,PBI,21,0
1,1,JFK,RDU,21,23
1,1,JFK,BUF,21,23
1,1,JFK,SJU,22,3
1,1,JFK,TPA,21,0
1,1,EWR,BUF,20,21
1,1,EWR,PWM,22,23
1,1,JFK,FLL,21,1
1,1,JFK,PWM,22,23
1,1,JFK,BOS,22,23
1,1,EWR,BDL,22,22
1,1,JFK,ROC,22,0
1,1,JFK,BTV,22,23
1,1,JFK,BUF,22,0
1,1,EWR,DCA,20,21
1,1,EWR,BTV,22,23
1,1,JFK,LAS,21,0
1,1,JFK,SYR,22,23
1,1,EWR,MCI,17,19
1,1,JFK,PSE,23,4
1,1,JFK,SJU,23,4
1,1,JFK,BQN,23,4
1,1,EWR,RDU,16,18
1,1,LGA,DFW,19,22
1,1,LGA,MIA,15,18
1,1,JFK,FLL,6,9
1,2,JFK,SJU,47,28
1,2,JFK,SYR,46,47
1,2,EWR,CLT,29,30
1,2,EWR,IAH,29,32
1,2,JFK,MIA,29,32
1,2,LGA,IAH,29,32
1,2,JFK,BQN,29,34
1,2,JFK,FLL,30,33
1,2,JFK,PBI,30,32
1,2,LGA,FLL,30,32
1,2,LGA,DFW,30,33
1,2,JFK,TPA,30,32
1,2,LGA,DTW,30,31
1,2,LGA,IAD,30,31
1,2,LGA,ATL,30,32
1,2,LGA,CVG,30,32
1,2,LGA,ATL,30,32
1,2,JFK,SFO,30,33
1,2,EWR,LAS,30,33
1,2,EWR,MIA,30,33
1,2,EWR,CMH,30,31
1,2,EWR,MSP,30,32
1,2,EWR,CVG,30,32
1,2,JFK,MCO,30,32
1,2,LGA,MDW,30,31
1,2,LGA,DTW,30,32
1,2,LGA,ORD,30,31
1,2,LGA,PHL,30,30
1,2,LGA,ORD,30,31
1,2,EWR,LAX,29,33
